Names: Derek Hildebrandt, Jesus Gonzalez, Christianna Powell
Group: Group 3
Date: June 18, 2015
SectionB: DA Pattern Matching - Genes

Gene 1: Start: 74 End: 221 

Gene 2: Start: 279 End: 351 

Gene 3: Start: 399 End: 468 

Gene 4: Start: 711 End: 777 

Gene 5: Start: 797 End: 971 

Gene 6: Start: 1013 End: 1022 

Gene 7: Start: 1044 End: 1059 

Gene 8: Start: 1289 End: 1319 

Gene 9: Start: 1382 End: 1427 

Gene 10: Start: 1496 End: 1508 

Gene 11: Start: 1614 End: 1638 

Gene 12: Start: 1700 End: 1745 

Gene 13: Start: 1757 End: 1859 

Gene 14: Start: 1893 End: 1896 

Gene 15: Start: 1926 End: 2061 

Gene 16: Start: 2091 End: 2127 

Gene 17: Start: 2132 End: 2198 

Gene 18: Start: 2204 End: 2207 

Gene 19: Start: 2390 End: 2396 

Gene 20: Start: 2405 End: 2498 

Gene 21: Start: 2649 End: 2799 

Gene 22: Start: 2835 End: 2847 

Gene 23: Start: 2913 End: 2919 

Gene 24: Start: 3027 End: 3090 

Gene 25: Start: 3242 End: 3257 

Gene 26: Start: 3278 End: 3290 

Gene 27: Start: 3327 End: 3345 

Gene 28: Start: 3357 End: 3429 

Gene 29: Start: 3663 End: 3714 

Gene 30: Start: 3723 End: 3756 

Gene 31: Start: 3818 End: 3842 

Gene 32: Start: 4077 End: 4101 

Gene 33: Start: 4113 End: 4122 

Gene 34: Start: 4148 End: 4298 

Gene 35: Start: 4301 End: 4367 

Gene 36: Start: 4734 End: 4737 

Gene 37: Start: 4749 End: 4770 

Gene 38: Start: 5054 End: 5114 

Gene 39: Start: 5130 End: 5217 

Gene 40: Start: 5367 End: 5526 

Gene 41: Start: 5612 End: 5702 

Gene 42: Start: 5706 End: 5883 

Gene 43: Start: 5955 End: 6111 

Gene 44: Start: 6201 End: 6354 

Gene 45: Start: 6372 End: 6450 

Gene 46: Start: 6477 End: 6501 

Gene 47: Start: 6602 End: 6614 

Gene 48: Start: 6710 End: 6719 

Gene 49: Start: 6857 End: 6971 

Gene 50: Start: 7040 End: 7067 

Gene 51: Start: 7194 End: 7239 

Gene 52: Start: 7364 End: 7376 

Gene 53: Start: 7436 End: 7490 

Gene 54: Start: 7574 End: 7718 

Gene 55: Start: 7962 End: 8034 

Gene 56: Start: 8048 End: 8051 

Gene 57: Start: 8054 End: 8126 

Gene 58: Start: 8231 End: 8243 

Gene 59: Start: 8306 End: 8324 

Gene 60: Start: 8438 End: 8477 

Gene 61: Start: 8508 End: 8574 

Gene 62: Start: 8594 End: 8618 

Gene 63: Start: 8646 End: 8664 

Gene 64: Start: 8778 End: 8853 

Gene 65: Start: 8945 End: 9053 

Gene 66: Start: 9104 End: 9176 

Gene 67: Start: 9420 End: 9513 

Gene 68: Start: 9536 End: 9539 

Gene 69: Start: 9644 End: 9749 

Gene 70: Start: 9776 End: 9812 

Gene 71: Start: 9815 End: 9914 

Gene 72: Start: 9942 End: 9945 

Gene 73: Start: 10007 End: 10025 

Gene 74: Start: 10034 End: 10169 

Gene 75: Start: 10199 End: 10214 

Gene 76: Start: 10247 End: 10670 

Gene 77: Start: 10707 End: 10710 

Gene 78: Start: 11219 End: 11447 

Gene 79: Start: 11474 End: 11534 

Gene 80: Start: 11592 End: 11604 

Gene 81: Start: 11717 End: 11723 

Gene 82: Start: 11741 End: 11747 

Gene 83: Start: 11771 End: 11798 

Gene 84: Start: 11811 End: 11847 

Gene 85: Start: 11965 End: 11968 

Gene 86: Start: 11999 End: 12143 

Gene 87: Start: 12287 End: 12290 

Gene 88: Start: 12299 End: 12698 

Gene 89: Start: 12767 End: 12788 

Gene 90: Start: 12832 End: 12844 

Gene 91: Start: 12943 End: 12988 

Gene 92: Start: 13088 End: 13166 

Gene 93: Start: 13249 End: 13258 

Gene 94: Start: 13301 End: 13388 

Gene 95: Start: 13613 End: 13622 

Gene 96: Start: 13734 End: 13755 

Gene 97: Start: 13796 End: 13814 

Gene 98: Start: 13943 End: 13961 

Gene 99: Start: 14152 End: 14365 

Gene 100: Start: 14417 End: 14423 

Gene 101: Start: 14467 End: 14713 

Gene 102: Start: 14733 End: 14754 

Gene 103: Start: 14810 End: 14852 

Gene 104: Start: 14876 End: 14981 

Gene 105: Start: 15004 End: 15187 

Gene 106: Start: 15203 End: 15248 

Gene 107: Start: 15254 End: 15491 

Gene 108: Start: 15655 End: 15724 

Gene 109: Start: 15755 End: 15881 

Gene 110: Start: 16010 End: 16079 

Gene 111: Start: 16082 End: 16130 

Gene 112: Start: 16179 End: 16185 

Gene 113: Start: 16212 End: 16302 

Gene 114: Start: 16355 End: 16412 

Gene 115: Start: 16483 End: 16513 

Gene 116: Start: 16520 End: 16553 

Gene 117: Start: 16587 End: 16611 

Gene 118: Start: 16623 End: 16716 

Gene 119: Start: 16727 End: 16751 

Gene 120: Start: 16787 End: 16832 

Gene 121: Start: 16918 End: 17026 

Gene 122: Start: 17031 End: 17052 

Gene 123: Start: 17084 End: 17168 

Gene 124: Start: 17206 End: 17401 

Gene 125: Start: 17458 End: 17476 

Gene 126: Start: 17977 End: 17998 

Gene 127: Start: 18132 End: 18156 

Gene 128: Start: 18271 End: 18307 

Gene 129: Start: 18358 End: 18400 

Gene 130: Start: 18410 End: 18470 

Gene 131: Start: 18534 End: 18612 

Gene 132: Start: 18754 End: 18778 

Gene 133: Start: 18791 End: 18824 

Gene 134: Start: 18913 End: 19081 

Gene 135: Start: 19085 End: 19115 

Gene 136: Start: 19119 End: 19284 

Gene 137: Start: 19289 End: 19436 

Gene 138: Start: 19483 End: 19531 

Gene 139: Start: 19567 End: 19600 

Gene 140: Start: 19627 End: 19672 

Gene 141: Start: 19678 End: 19714 

Gene 142: Start: 19895 End: 19994 

Gene 143: Start: 20120 End: 20126 

Gene 144: Start: 20202 End: 20229 

Gene 145: Start: 20239 End: 20323 

Gene 146: Start: 20494 End: 20554 

Gene 147: Start: 20604 End: 20631 

Gene 148: Start: 20792 End: 20801 

Gene 149: Start: 20820 End: 20892 

Gene 150: Start: 20959 End: 20962 

Gene 151: Start: 21004 End: 21028 

Gene 152: Start: 21095 End: 21110 

Gene 153: Start: 21174 End: 21204 

Gene 154: Start: 21303 End: 21318 

Gene 155: Start: 21345 End: 21462 

Gene 156: Start: 21540 End: 21552 

Gene 157: Start: 21620 End: 21632 

Gene 158: Start: 21689 End: 21719 

Gene 159: Start: 21759 End: 21942 

Gene 160: Start: 21998 End: 22055 

Gene 161: Start: 22072 End: 22078 

Gene 162: Start: 22091 End: 22277 

Gene 163: Start: 22294 End: 22306 

Gene 164: Start: 22355 End: 22364 

Gene 165: Start: 22426 End: 22435 

Gene 166: Start: 22489 End: 22501 

Gene 167: Start: 22533 End: 22554 

Gene 168: Start: 22568 End: 22580 

Gene 169: Start: 22684 End: 22738 

Gene 170: Start: 22773 End: 22851 

Gene 171: Start: 22856 End: 22928 

Gene 172: Start: 22954 End: 23053 

Gene 173: Start: 23056 End: 23176 

Gene 174: Start: 23249 End: 23261 

Gene 175: Start: 23271 End: 23337 

Gene 176: Start: 23366 End: 23606 

Gene 177: Start: 23696 End: 23738 

Gene 178: Start: 23885 End: 23894 

Gene 179: Start: 23899 End: 24013 

Gene 180: Start: 24059 End: 24140 

Gene 181: Start: 24158 End: 24227 

Gene 182: Start: 24326 End: 24440 

Gene 183: Start: 24449 End: 24485 

Gene 184: Start: 24527 End: 24608 

Gene 185: Start: 24643 End: 24757 

Gene 186: Start: 24993 End: 25278 

Gene 187: Start: 25329 End: 25338 

Gene 188: Start: 25344 End: 25386 

Gene 189: Start: 25686 End: 25704 

Gene 190: Start: 25783 End: 25825 

Gene 191: Start: 25913 End: 25949 

Gene 192: Start: 26033 End: 26084 

Gene 193: Start: 26116 End: 26215 

Gene 194: Start: 26264 End: 26282 

Gene 195: Start: 26319 End: 26334 

Gene 196: Start: 26358 End: 26427 

Gene 197: Start: 26449 End: 26593 

Gene 198: Start: 26768 End: 26777 

Gene 199: Start: 26831 End: 26939 

Gene 200: Start: 27032 End: 27047 

Gene 201: Start: 27050 End: 27083 

Gene 202: Start: 27223 End: 27334 

Gene 203: Start: 27395 End: 27401 

Gene 204: Start: 27446 End: 27524 

Gene 205: Start: 27571 End: 27622 

Gene 206: Start: 27663 End: 27708 

